epoch,accuracy,loss,val_accuracy,val_loss
0,0.6889097690582275,0.5830224752426147,0.796535313129425,0.4377650320529938
1,0.777255654335022,0.46647167205810547,0.8544368743896484,0.37384679913520813
2,0.8106203079223633,0.4049825966358185,0.8259385824203491,0.4071442484855652
3,0.8474310636520386,0.35636910796165466,0.8964163661003113,0.2638882100582123
4,0.8656014800071716,0.30861565470695496,0.9276494383811951,0.21103747189044952
5,0.8809523582458496,0.2853318154811859,0.9058020710945129,0.24533380568027496
6,0.8989661931991577,0.24991458654403687,0.9339590668678284,0.17754215002059937
7,0.9091478586196899,0.23098918795585632,0.920819103717804,0.21582695841789246
8,0.9243420958518982,0.1979842633008957,0.953071653842926,0.12535442411899567
9,0.9244987368583679,0.19258001446723938,0.950577437877655,0.13785304129123688
10,0.92904132604599,0.18456122279167175,0.9247440099716187,0.1846179962158203
11,0.9324874877929688,0.1731933206319809,0.9590443968772888,0.12537556886672974
